time,value,correction,quality
1996-01-17T11:00:00Z,372.24,0,3
1996-01-18T11:00:00Z,372.2,0,3
1996-01-19T11:00:00Z,372.18,0,3
1996-01-20T11:00:00Z,372.17,0,3
1996-01-21T11:00:00Z,372.12,0,3
1996-01-22T11:00:00Z,372.1,0,3
1996-01-23T11:00:00Z,372.05,0,3
1996-01-24T11:00:00Z,371.98,0,3
1996-01-25T11:00:00Z,371.93,0,3
1996-01-26T11:00:00Z,371.86,0,3
1996-01-27T11:00:00Z,371.77,0,3
1996-01-28T11:00:00Z,371.71,0,3
1996-01-29T11:00:00Z,371.66,0,3
1996-01-30T11:00:00Z,371.6,0,3
1996-01-31T11:00:00Z,371.54,0,3
1996-02-01T11:00:00Z,371.52,0,3
1996-02-02T11:00:00Z,371.48,0,3
1996-02-03T11:00:00Z,371.43,0,3
1996-02-04T11:00:00Z,371.39,0,3
1996-02-05T11:00:00Z,371.35,0,3
1996-02-06T11:00:00Z,371.3,0,3
1996-02-07T11:00:00Z,371.26,0,3
1996-02-08T11:00:00Z,371.17,0,3
1996-02-09T11:00:00Z,371.11,0,3
1996-02-10T11:00:00Z,371.18,0,3
1996-02-11T11:00:00Z,371.09,0,3
1996-02-12T11:00:00Z,371.06,0,3
1996-02-13T11:00:00Z,371.03,0,3
1996-02-14T11:00:00Z,370.98,0,3
1996-02-15T11:00:00Z,370.93,0,3
1996-02-16T11:00:00Z,370.9,0,3
1996-02-17T11:00:00Z,370.88,0,3
1996-02-18T11:00:00Z,370.62,0,3
1996-02-19T11:00:00Z,370.36,0,3
1996-02-20T11:00:00Z,370.19,0,3
1996-02-21T11:00:00Z,370.05,0,3
